                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4699,                 4.3054,                 4.0939,                0.00384,                0.04743,                 0.0032,                 0.0009,                 4.7397,                 4.9077,                 4.3152,             0.00027505,             0.00027505,             0.00027505
                      2,                 3.8265,                 3.2906,                 3.3015,                0.13925,                0.10139,                0.00952,                0.00271,                 3.5372,                 4.5035,                 3.0062,             0.00052535,             0.00052535,             0.00052535
                      3,                 3.2665,                 2.8293,                 2.7832,                0.31583,                0.07789,                0.03318,                0.01084,                 3.0668,                  2.799,                 2.5398,             0.00074817,             0.00074817,             0.00074817
                      4,                 2.9034,                 2.5981,                 2.4479,                0.21759,                0.11583,                0.05241,                0.01941,                 2.6779,                 2.5488,                 2.3282,              0.0007093,              0.0007093,              0.0007093
                      5,                 2.6679,                  2.488,                 2.2618,                0.37492,                0.13566,                 0.0808,                0.03137,                 2.4605,                   2.39,                 2.1309,             0.00066807,             0.00066807,             0.00066807
                      6,                 2.4796,                  2.389,                 2.1099,                0.38407,                0.13204,                0.08528,                0.03583,                 2.3934,                 2.3537,                 2.0519,             0.00062683,             0.00062683,             0.00062683
                      7,                  2.367,                 2.3115,                 2.0088,                0.26904,                0.16106,                0.10955,                 0.0479,                 2.2447,                 2.2602,                  1.926,              0.0005856,              0.0005856,              0.0005856
                      8,                 2.2672,                 2.2666,                  1.923,                0.29482,                0.17869,                0.12611,                0.05431,                 2.1715,                 2.1779,                 1.8706,             0.00054437,             0.00054437,             0.00054437
                      9,                 2.1638,                 2.2112,                 1.8477,                0.38922,                0.19739,                0.13919,                0.06327,                 2.0863,                 2.1252,                 1.7851,             0.00050313,             0.00050313,             0.00050313
                     10,                 2.1321,                 2.1872,                 1.8073,                0.35724,                0.22314,                0.15563,                0.07468,                 1.9973,                 2.0817,                 1.7294,              0.0004619,              0.0004619,              0.0004619
                     11,                 2.0371,                 2.2285,                 1.7282,                0.35599,                0.22979,                0.15601,                0.07403,                 1.9832,                 2.1543,                 1.6883,             0.00042066,             0.00042066,             0.00042066
                     12,                 1.9935,                 2.1609,                 1.6922,                0.32255,                 0.2406,                0.15951,                0.08079,                 1.9184,                 2.0767,                 1.6473,             0.00037943,             0.00037943,             0.00037943
                     13,                 1.9575,                 2.1255,                 1.6596,                0.33538,                0.24888,                0.16821,                0.08447,                 1.8942,                 2.0523,                 1.6371,              0.0003382,              0.0003382,              0.0003382
                     14,                 1.9271,                 2.0941,                 1.6384,                 0.3654,                 0.2556,                 0.1872,                0.09355,                 1.8833,                 2.0749,                 1.6104,             0.00029696,             0.00029696,             0.00029696
                     15,                  1.895,                 2.0752,                  1.616,                0.36461,                0.26247,                0.19006,                0.09729,                 1.8452,                 2.0208,                 1.5883,             0.00025573,             0.00025573,             0.00025573
                     16,                   1.88,                 2.0532,                 1.6068,                0.37217,                0.26319,                 0.1951,                0.10077,                 1.8092,                 1.9922,                 1.5705,              0.0002145,              0.0002145,              0.0002145
                     17,                 1.8553,                  2.036,                 1.5937,                0.36055,                0.27283,                0.20155,                0.10463,                  1.811,                 1.9863,                 1.5696,             0.00017326,             0.00017326,             0.00017326
                     18,                 1.8356,                 2.0091,                 1.5809,                0.38053,                0.27104,                0.20115,                0.10663,                 1.8005,                 1.9685,                 1.5559,             0.00013203,             0.00013203,             0.00013203
                     19,                 1.8235,                 2.0044,                 1.5697,                0.38247,                0.26126,                0.21377,                0.11413,                 1.7823,                 1.9603,                 1.5482,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     20,                 1.8188,                 1.9918,                 1.5667,                0.38528,                0.27256,                0.21089,                0.11368,                 1.7862,                 1.9493,                 1.5461,             4.9564e-05,             4.9564e-05,             4.9564e-05
